caso,N,escalar,AVX2,NumPy,correcto
secuencia,0,0.0,0.0,0.0,PASS
negativos,0,0.0,0.0,0.0,PASS
constante,0,0.0,0.0,0.0,PASS
mixtos,0,0.0,0.0,0.0,PASS
aleatorios,0,0.0,0.0,0.0,PASS
secuencia,1,1.0,1.0,1.0,PASS
negativos,1,-1.0,-1.0,-1.0,PASS
constante,1,3.25,3.25,3.25,PASS
mixtos,1,1.0,1.0,1.0,PASS
aleatorios,1,-6.42130375,-6.42130375,-6.421303749084473,PASS
secuencia,7,28.0,28.0,28.0,PASS
negativos,7,-28.0,-28.0,-28.0,PASS
constante,7,22.75,22.75,22.75,PASS
mixtos,7,4.0,4.0,4.0,PASS
aleatorios,7,4.1122942,4.1122942,4.1122941970825195,PASS
secuencia,8,36.0,36.0,36.0,PASS
negativos,8,-36.0,-36.0,-36.0,PASS
constante,8,26.0,26.0,26.0,PASS
mixtos,8,-4.0,-4.0,-4.0,PASS
aleatorios,8,31.3510361,31.3510361,31.351036071777344,PASS
secuencia,15,120.0,120.0,120.0,PASS
negativos,15,-120.0,-120.0,-120.0,PASS
constante,15,48.75,48.75,48.75,PASS
mixtos,15,8.0,8.0,8.0,PASS
aleatorios,15,-40.5591545,-40.5591545,-40.55915451049805,PASS
secuencia,16,136.0,136.0,136.0,PASS
negativos,16,-136.0,-136.0,-136.0,PASS
constante,16,52.0,52.0,52.0,PASS
mixtos,16,-8.0,-8.0,-8.0,PASS
aleatorios,16,21.1977558,21.1977558,21.19775390625,PASS
cancelacion,16,0.0,0.0,0.0,PASS
magnitud_grande,16,1360000060000.0,1360000060000.0,1360000057344.0,PASS
